spoonful|ложка|một thìa
bike storage|хранение велосипедов|chỗ để xe đạp
parking permit|разрешение на парковку|giấy phép đỗ xe
visitor parking|парковка для гостей|chỗ đỗ khách
building manager|управляющий домом|quản lý tòa nhà
maintenance request|заявка на ремонт|yêu cầu sửa chữa
leak report|сообщение об утечке|báo rò rỉ
power outage|отключение электричества|mất điện
water shutoff|отключение воды|cắt nước
heating failure|поломка отопления|hỏng sưởi
elevator outage|лифт не работает|thang máy hỏng
stair access|доступ по лестнице|đi cầu thang
emergency light|аварийный свет|đèn sự cố
backup generator|резервный генератор|máy phát dự phòng
flashlight ready|фонарик наготове|đèn pin sẵn
first aid location|где аптечка|chỗ hộp sơ cứu
floor plan|план этажа|sơ đồ tầng
exit sign|указатель выхода|biển lối thoát
smoke alarm test|проверка датчика дыма|thử đầu báo khói
battery replacement|замена батарейки|thay pin
spare bulb|запасная лампочка|bóng đèn dự phòng
fuse|предохранитель|cầu chì
circuit breaker|автомат защиты|cầu dao
power strip|сетевой фильтр|ổ cắm nối
cable management|укладка кабелей|sắp dây
desk lamp|настольная лампа|đèn bàn
bookshelf unit|стеллаж|kệ sách
filing cabinet|шкаф для документов|tủ hồ sơ
waste bin|корзина для бумаг|sọt rác
recycling box|ящик для переработки|thùng tái chế nhỏ
plant on the desk|растение на столе|cây trên bàn
photo frame|фоторамка|khung ảnh
calendar on the wall|календарь на стене|lịch treo tường
clock on the wall|настенные часы|đồng hồ treo
whiteboard marker|маркер для доски|bút bảng
eraser for a board|губка для доски|miếng xóa bảng
pin board|пробковая доска|bảng ghim
push pin|кнопка-гвоздик|đinh ghim
binder|папка-скоросшиватель|bìa còng
divider|разделитель|tấm ngăn
label maker|принтер этикеток|máy in nhãn
tape dispenser|диспенсер скотча|cắt băng dính
scissors|ножницы|kéo
glue stick|клей-карандаш|hồ dán
rubber band|резинка|dây thun
paperweight|пресс-папье|chặn giấy
hole punch|дырокол|đục lỗ
binder clip|зажим|kẹp bìa
index card|карточка|thẻ ghi
flashcard|карточка для запоминания|thẻ học từ
study plan|план учёбы|kế hoạch học
review session|сессия повторения|buổi ôn
practice sentence|предложение для практики|câu luyện
native speaker|носитель языка|người bản ngữ
language partner|языковой партнёр|bạn luyện ngôn ngữ
pronunciation drill|тренировка произношения|luyện phát âm
listening practice|практика аудирования|luyện nghe
speaking practice|практика говорения|luyện nói
reading passage|текст для чтения|đoạn đọc
writing prompt|тема для письма|đề viết
vocabulary list|список слов|danh sách từ
spaced repetition|интервальное повторение|lặp lại ngắt quãng
due card|карточка к повторению|thẻ đến hạn
new card|новая карточка|thẻ mới
mastered word|выученное слово|từ đã thuộc
hint for reading|подсказка чтения|gợi ý đọc
translation pair|пара перевода|cặp dịch
example in context|пример в контексте|ví dụ trong ngữ cảnh
common mistake|частая ошибка|lỗi thường gặp
false friend|ложный друг переводчика|từ dễ nhầm
idiom|идиома|thành ngữ
proverb|пословица|tục ngữ
collocation|сочетание слов|kết hợp từ
phrasal verb|фразовый глагол|động từ cụm
modal verb|модальный глагол|động từ khuyết thiếu
auxiliary verb|вспомогательный глагол|trợ động từ
preposition use|употребление предлога|cách dùng giới từ
article use|употребление артикля|cách dùng mạo từ
word order|порядок слов|trật tự từ
question form|форма вопроса|dạng câu hỏi
negative form|отрицательная форма|dạng phủ định
tense|время глагола|thì
present simple|настоящее простое|hiện tại đơn
present continuous|настоящее длительное|hiện tại tiếp diễn
past simple|прошедшее простое|quá khứ đơn
past continuous|прошедшее длительное|quá khứ tiếp diễn
present perfect|настоящее совершённое|hiện tại hoàn thành
past perfect|прошедшее совершённое|quá khứ hoàn thành
future simple|будущее простое|tương lai đơn
going to future|будущее с going to|tương lai gần
conditional sentence|условное предложение|câu điều kiện
passive voice|страдательный залог|câu bị động
reported speech|косвенная речь|câu tường thuật
relative clause|придаточное определительное|mệnh đề quan hệ
gerund|герундий|danh động từ
infinitive|инфинитив|động từ nguyên mẫu
participle|причастие|phân từ
comparative form|сравнительная степень|dạng so sánh hơn
superlative form|превосходная степень|dạng so sánh nhất
countable noun|исчисляемое существительное|danh từ đếm được
uncountable noun|неисчисляемое существительное|danh từ không đếm được
plural form|форма множественного числа|dạng số nhiều
possessive form|притяжательная форма|dạng sở hữu
contraction form|сокращённая форма|dạng rút gọn
formal register|официальный стиль|văn phong trang trọng
informal register|разговорный стиль|văn phong thân mật
polite request|вежливая просьба|lời yêu cầu lịch sự
softener|смягчение формулировки|cách nói mềm
filler word|слово-паразит|từ đệm
hesitation|запинка|sự ngập ngừng
clarification|уточнение|sự làm rõ
repetition request|просьба повторить|xin nhắc lại
paraphrase|пересказ своими словами|diễn đạt lại
confirmation|подтверждение|sự xác nhận
agreement signal|сигнал согласия|dấu hiệu đồng ý
disagreement signal|сигнал несогласия|dấu hiệu không đồng ý
turn taking|очерёдность в разговоре|lượt nói
interruption polite|вежливое вмешательство|ngắt lời lịch sự
closing a conversation|завершение разговора|kết thúc cuộc nói
small talk|светская беседа|chuyện phiếm
icebreaker|фраза для начала разговора|câu mở đầu
self introduction|самопрезентация|tự giới thiệu
follow up question|уточняющий вопрос|câu hỏi tiếp
active listening|активное слушание|lắng nghe chủ động
body language|язык тела|ngôn ngữ cơ thể
eye contact|зрительный контакт|giao tiếp bằng mắt
handshake|рукопожатие|bắt tay
nod|кивок|gật đầu
smile|улыбка|nụ cười
gesture|жест|cử chỉ
personal space|личное пространство|khoảng cách cá nhân
cultural note|культурная заметка|ghi chú văn hóa
taboo topic|запретная тема|chủ đề kiêng
polite refusal|вежливый отказ|từ chối lịch sự
indirect answer|косвенный ответ|câu trả lời gián tiếp
direct answer|прямой ответ|câu trả lời thẳng
hedging|оговорка|cách nói dè dặt
emphasis|эмфаза|sự nhấn mạnh
contrast marker|маркер противопоставления|từ nối đối lập
addition marker|маркер добавления|từ nối bổ sung
cause marker|маркер причины|từ nối nguyên nhân
result marker|маркер результата|từ nối kết quả
time marker|маркер времени|từ nối thời gian
sequence marker|маркер последовательности|từ nối trình tự
example marker|маркер примера|từ nối ví dụ
summary marker|маркер итога|từ nối tóm tắt
topic sentence|предложение темы|câu chủ đề
supporting detail|подтверждающая деталь|chi tiết hỗ trợ
concluding sentence|завершающее предложение|câu kết
cohesion|связность|sự mạch lạc
coherence|логичность|sự nhất quán
register shift|смена регистра|đổi mức trang trọng
audience awareness|учёт аудитории|ý thức người nghe
purpose of a text|цель текста|mục đích văn bản
tone of a text|тон текста|giọng văn
clarity|ясность|sự rõ ràng
concision|краткость|sự ngắn gọn
accuracy of language|точность языка|độ chính xác ngôn ngữ
fluency|беглость|sự trôi chảy
accuracy versus fluency|точность и беглость|chính xác và trôi chảy
self correction|самоисправление|tự sửa
error pattern|типичная ошибка|mẫu lỗi
feedback from a teacher|обратная связь учителя|phản hồi của giáo viên
peer feedback|обратная связь одногруппника|phản hồi bạn học
model answer|образец ответа|câu trả lời mẫu
rubric|критерии оценки|thang tiêu chí
band score|балл по шкале|điểm band
timed practice|практика на время|luyện có giờ
mock exam|пробный экзамен|thi thử
answer sheet|бланк ответов|phiếu trả lời
listening section|секция аудирования|phần nghe
reading section|секция чтения|phần đọc
writing section|секция письма|phần viết
speaking section|секция говорения|phần nói
prompt card|карточка задания|thẻ đề
preparation time|время на подготовку|thời gian chuẩn bị
note taking|ведение заметок|ghi chép
keyword|ключевое слово|từ khóa
distractor|отвлекающий вариант|phương án nhiễu
inference|умозаключение|suy luận
main idea|главная мысль|ý chính
detail question|вопрос на деталь|câu hỏi chi tiết
attitude of the speaker|отношение говорящего|thái độ người nói
purpose question|вопрос о цели|câu hỏi mục đích
reference word|слово-отсылка|từ quy chiếu
paraphrase match|соответствие перефразирования|khớp cách diễn đạt
summary completion|заполнение конспекта|điền tóm tắt
sentence completion|завершение предложения|hoàn thành câu
matching heading|подбор заголовка|nối tiêu đề
true false not given|верно ложно не сказано|đúng sai không có thông tin
multiple choice|множественный выбор|trắc nghiệm
short answer|краткий ответ|câu trả lời ngắn
essay|сочинение|bài luận
letter of complaint|письмо-жалоба|thư khiếu nại
letter of request|письмо-просьба|thư yêu cầu
formal email|официальное письмо|email trang trọng
informal email|неформальное письмо|email thân mật
report writing|написание отчёта|viết báo cáo
graph description|описание графика|mô tả biểu đồ
opinion essay|эссе-мнение|bài luận ý kiến
discussion essay|эссе-обсуждение|bài luận thảo luận
advantage disadvantage|преимущества и недостатки|ưu và nhược điểm
problem solution|проблема и решение|vấn đề và giải pháp
introduction paragraph|вступительный абзац|đoạn mở
body paragraph|основной абзац|đoạn thân
conclusion paragraph|заключительный абзац|đoạn kết
linking word|связующее слово|từ nối
topic vocabulary|тематическая лексика|từ vựng chủ đề
range of vocabulary|разнообразие лексики|phạm vi từ vựng
grammatical range|грамматическое разнообразие|phạm vi ngữ pháp
task response|ответ на задание|đáp ứng đề
coherence score|оценка связности|điểm mạch lạc
lexical resource|лексический ресурс|nguồn từ vựng
pronunciation score|оценка произношения|điểm phát âm
fluency score|оценка беглости|điểm trôi chảy
band descriptor|описание балла|mô tả mức điểm
examiner|экзаменатор|giám khảo
candidate|кандидат|thí sinh
ID check|проверка документа|kiểm tra giấy tờ
waiting area|зона ожидания|khu chờ
exam room|экзаменационная комната|phòng thi
quiet please|тише, пожалуйста|xin im lặng
time is up|время вышло|hết giờ
rough notes|черновые заметки|ghi nháp
final answer|итоговый ответ|câu trả lời cuối
review your work|проверьте работу|xem lại bài
guess if unsure|угадайте, если не уверены|đoán nếu không chắc
manage your time|распределите время|chia thời gian
read the instructions|прочитайте инструкцию|đọc hướng dẫn
answer every question|ответьте на каждый вопрос|trả lời mọi câu
transfer answers|перенесите ответы|chép đáp án
listen for signposts|слушайте маркеры|nghe từ định hướng
predict the topic|предугадайте тему|đoán chủ đề
skim the text|просмотрите текст|đọc lướt
scan for a name|найдите имя|tìm tên
underline keywords|подчеркните ключевые слова|gạch từ khóa
paraphrase the question|перефразируйте вопрос|diễn đạt lại câu hỏi
plan before writing|составьте план|lập dàn ý
leave time to check|оставьте время на проверку|dành thời gian kiểm tra
speak clearly|говорите ясно|nói rõ
extend your answer|разверните ответ|trả lời dài hơn
give an example|приведите пример|đưa ví dụ
ask to repeat|попросите повторить|xin nhắc lại
buy thinking time|выиграйте время на мысль|câu lấy thời gian
organize your ideas|упорядочьте мысли|sắp ý
stay on topic|держитесь темы|đúng chủ đề
use a range of tenses|используйте разные времена|dùng nhiều thì
self correct smoothly|исправляйтесь плавно|tự sửa tự nhiên
smile and breathe|улыбнитесь и вдохните|mỉm cười và thở
good luck on the exam|удачи на экзамене|chúc may mắn kỳ thi
well done today|молодец сегодня|hôm nay làm tốt
see you next lesson|до следующего урока|hẹn buổi sau
review tonight|повтори сегодня вечером|ôn tối nay
add this word|добавь это слово|thêm từ này
practice aloud|потренируйся вслух|luyện thành tiếng
record yourself|запиши себя|tự ghi âm
compare with the model|сравни с образцом|so với mẫu
notice the stress|обрати внимание на ударение|để ý trọng âm
notice the tone|обрати внимание на тон|để ý thanh điệu
shadow the audio|повторяй за аудио|nhại theo audio
slow then fast|сначала медленно, потом быстро|chậm rồi nhanh
chunk the phrase|дели фразу на куски|chia cụm
link the sounds|соединяй звуки|nối âm
reduce the function word|редуцируй служебное слово|nuốt từ chức năng
keep the content word clear|содержательное слово произноси ясно|từ nội dung nói rõ
preposition is unstressed|предлог без ударения|giới từ không nhấn
article is weak|артикль слабый|mạo từ nhẹ
auxiliary is weak|вспомогательный глагол слабый|trợ động từ nhẹ
content word is strong|содержательное слово сильное|từ nội dung mạnh
practice the weak forms|тренируй слабые формы|luyện dạng yếu
practice the strong forms|тренируй сильные формы|luyện dạng mạnh
contrast the pair|сравни пару|đối chiếu cặp
say it in a sentence|скажи в предложении|nói trong câu
translate both ways|переведи в обе стороны|dịch hai chiều
cover and recall|закрой и вспомни|che và nhớ lại
space the reviews|разнеси повторения|giãn các lần ôn
trust the schedule|доверяй расписанию|tin lịch ôn
one more round|ещё один круг|thêm một lượt
that is enough for today|на сегодня хватит|hôm nay đủ rồi
rest and return|отдохни и вернись|nghỉ rồi quay lại
you are making progress|ты продвигаешься|bạn đang tiến bộ
keep going|продолжай|cứ tiếp tục
small gains add up|маленькие успехи складываются|tiến bộ nhỏ cộng lại
language grows with use|язык растёт от употребления|ngôn ngữ lớn lên khi dùng
use the word today|употреби слово сегодня|dùng từ này hôm nay
notice it in the wild|заметь его в жизни|để ý từ ngoài đời
bring a question next time|принеси вопрос в следующий раз|mang câu hỏi lần sau
we will review the due cards|повторим должные карточки|ôn các thẻ đến hạn
new words wait their turn|новые слова ждут своей очереди|từ mới chờ lượt
quality over quantity|качество важнее количества|chất lượng hơn số lượng
understand before you memorize|пойми, потом запоминай|hiểu rồi hãy nhớ
a phrase beats a bare word|фраза лучше голого слова|cụm từ hơn từ trần
context sticks|контекст запоминается|ngữ cảnh dễ nhớ
say it to a person|скажи это человеку|nói với một người
write it by hand|напиши от руки|viết tay
hear it again|услышь ещё раз|nghe lại
sleep helps memory|сон помогает памяти|ngủ giúp trí nhớ
come back tomorrow|вернись завтра|quay lại ngày mai
the word will return|слово вернётся|từ sẽ quay lại
trust the process|верь процессу|tin vào quá trình
you already know more|ты уже знаешь больше|bạn đã biết nhiều hơn
build on what you know|опирайся на известное|dựa vào điều đã biết
connect the new word|свяжи новое слово|nối từ mới
one preposition at a time|по одному предлогу|mỗi lần một giới từ
use it in your own sentence|используй в своём предложении|dùng trong câu của bạn
check the meaning in context|проверь смысл в контексте|kiểm nghĩa trong ngữ cảnh
if unsure mark it|если не уверен, отметь|không chắc thì đánh dấu
ask a precise question|задай точный вопрос|hỏi câu cụ thể
a good question saves time|хороший вопрос экономит время|câu hỏi tốt tiết kiệm thời gian
we can look it up together|можем посмотреть вместе|có thể tra cùng nhau
keep a personal example|храни свой пример|giữ ví dụ của bạn
your example is the best hook|твой пример — лучший крючок|ví dụ của bạn dễ nhớ nhất
say the Russian aloud|произнеси русский вслух|đọc tiếng Nga thành tiếng
say the Vietnamese aloud|произнеси вьетнамский вслух|đọc tiếng Việt thành tiếng
hear the English again|ещё раз услышь английский|nghe tiếng Anh lần nữa
three languages one idea|три языка одна мысль|ba ngôn ngữ một ý
that is the whole point|в этом весь смысл|đó là ý chính
ready for the next word|готов к следующему слову|sẵn sàng từ tiếp theo
let us continue|давай продолжим|chúng ta tiếp tục
pause if you need|сделай паузу, если нужно|dừng nếu cần
water and a stretch|вода и растяжка|uống nước và vươn vai
then we go on|потом продолжим|rồi tiếp tục
you are doing fine|у тебя получается|bạn làm tốt
this word is common|это слово частое|từ này hay gặp
this word is formal|это слово официальное|từ này trang trọng
this word is informal|это слово разговорное|từ này thân mật
this phrase is polite|эта фраза вежливая|cụm này lịch sự
this phrase is direct|эта фраза прямая|cụm này thẳng
use the polite one first|сначала вежливый вариант|dùng kiểu lịch sự trước
save the direct one for friends|прямой вариант оставь друзьям|kiểu thẳng để với bạn bè
notice who you are talking to|замечай, с кем говоришь|để ý đang nói với ai
match the tone to the person|подбери тон к человеку|chọn giọng theo người
a preposition changes the meaning|предлог меняет смысл|giới từ đổi nghĩa
learn the phrase not the gloss alone|учи фразу, не только глоссу|học cả cụm không chỉ nghĩa
the gloss is a hint|глосса — подсказка|nghĩa chỉ là gợi ý
the sentence is the teacher|предложение учит|câu mới là thầy
repeat until it feels easy|повторяй, пока не станет легко|lặp đến khi dễ
easy does not mean finished|легко не значит выучено|dễ chưa phải thuộc
it will come back later|оно вернётся позже|nó sẽ quay lại sau
that is how memory works|так устроена память|trí nhớ hoạt động vậy
welcome the return|встречай возвращение|đón lần quay lại
each return makes it stronger|каждое возвращение укрепляет|mỗi lần về lại càng chắc
leave it when it is easy|оставь, когда легко|để đó khi đã dễ
pick it up when it is due|возьми, когда срок|lấy lại khi đến hạn
the app will remind you|приложение напомнит|ứng dụng sẽ nhắc
you do not have to remember the date|дату помнить не нужно|không cần nhớ ngày
just show up|просто приходи|chỉ cần xuất hiện
open the due pile|открой стопку должных|mở chồng thẻ đến hạn
do a short session|сделай короткую сессию|học một phiên ngắn
stop while it is still pleasant|остановись, пока приятно|dừng khi vẫn dễ chịu
tomorrow is another pile|завтра будет другая стопка|ngày mai có chồng khác
that is sustainable|так можно долго|cách này bền
sustainable beats intense|устойчивое лучше рывка|bền hơn cố quá
a little every day|немного каждый день|một ít mỗi ngày
beats a long rare session|лучше редкой длинной сессии|hơn một buổi dài hiếm
protect the streak if you want|береги серию, если хочешь|giữ chuỗi nếu muốn
missing a day is not failure|пропуск дня — не провал|nghỉ một ngày không phải thất bại
return without drama|вернись без драмы|quay lại không ồn ào
the words are still there|слова на месте|từ vẫn ở đó
your progress is still there|прогресс на месте|tiến bộ vẫn còn
another profile does not erase this one|другой профиль это не стирает|hồ sơ khác không xóa hồ sơ này
switch and come back|переключись и вернись|đổi rồi quay lại
the due cards wait|должные карточки ждут|thẻ đến hạn vẫn chờ
that is the promise|таково обещание|đó là lời hứa
now learn the next word|а теперь следующее слово|giờ học từ tiếp theo
say it once more|скажи ещё раз|nói thêm lần nữa
good|хорошо|tốt
again please|ещё раз, пожалуйста|làm ơn lần nữa
slower please|медленнее, пожалуйста|làm ơn chậm hơn
louder please|громче, пожалуйста|làm ơn to hơn
one more example|ещё один пример|thêm một ví dụ
I will remember this|я это запомню|tôi sẽ nhớ
I already use this|я это уже употребляю|tôi đã dùng từ này
this one is new|это новое|cái này mới
this one is familiar|это знакомое|cái này quen
I want a phrase|хочу фразу|tôi muốn một cụm
show me the preposition|покажи предлог|cho tôi xem giới từ
what does this preposition do|что делает этот предлог|giới từ này làm gì
it links the noun|он связывает существительное|nó nối danh từ
it shows place|он показывает место|nó chỉ nơi chốn
it shows time|он показывает время|nó chỉ thời gian
it shows cause|он показывает причину|nó chỉ nguyên nhân
it shows manner|он показывает способ|nó chỉ cách thức
it shows direction|он показывает направление|nó chỉ hướng
learn the frame|выучи рамку|học cái khung
noun after the preposition|после предлога существительное|sau giới từ là danh từ
verb before the preposition|перед предлогом глагол|trước giới từ là động từ
some verbs demand a preposition|некоторые глаголы требуют предлог|một số động từ bắt buộc giới từ
the pair is the unit|пара и есть единица|cặp mới là đơn vị
do not split them|не разрывай их|đừng tách chúng
practice the pair|тренируй пару|luyện cả cặp
then vary the noun|потом меняй существительное|rồi đổi danh từ
the pattern stays|шаблон остаётся|khuôn vẫn giữ
that is how grammar feels|так грамматика ощущается|ngữ pháp cảm thấy vậy
not a rule in a vacuum|не правило в вакууме|không phải quy tắc trong chân không
a pattern you can say|шаблон, который можно сказать|khuôn bạn nói được
say three variants|скажи три варианта|nói ba biến thể
then stop|потом остановись|rồi dừng
enough for this pattern|достаточно для этого шаблона|đủ cho khuôn này
next pattern tomorrow|следующий шаблон завтра|khuôn sau để ngày mai
sleep on it|переспи с этим|ngủ một đêm
it will be easier|будет легче|sẽ dễ hơn
trust that|верь этому|tin điều đó
see you at the next card|до следующей карточки|hẹn thẻ sau
